#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AW551984	Rnf144a	10090.ENSMUSP00000042582	10090.ENSMUSP00000020971	0	0	0	0	0.068	0	0	0.537	0.550
Aacs	Unc119	10090.ENSMUSP00000031445	10090.ENSMUSP00000002127	0	0	0	0	0.060	0	0	0.751	0.756
Aacs	Sqle	10090.ENSMUSP00000031445	10090.ENSMUSP00000022977	0	0	0	0	0.427	0	0	0.282	0.571
Aacs	Hadh	10090.ENSMUSP00000031445	10090.ENSMUSP00000029610	0	0	0	0	0.135	0	0.900	0.269	0.931
Aacs	Hmgcl	10090.ENSMUSP00000031445	10090.ENSMUSP00000030432	0	0	0	0	0.082	0	0.900	0.327	0.932
Aacs	Acadm	10090.ENSMUSP00000031445	10090.ENSMUSP00000072483	0	0	0	0	0.071	0	0	0.618	0.630
Aacs	Lss	10090.ENSMUSP00000031445	10090.ENSMUSP00000046856	0	0	0	0	0.628	0	0	0.397	0.766
Aacs	Oxct1	10090.ENSMUSP00000031445	10090.ENSMUSP00000106318	0	0	0	0	0.062	0	0.800	0.406	0.879
Abcb10	Slc25a39	10090.ENSMUSP00000075011	10090.ENSMUSP00000018821	0	0	0	0	0.058	0	0	0.549	0.557
Abcb10	Tmem14c	10090.ENSMUSP00000075011	10090.ENSMUSP00000021790	0	0	0	0	0	0	0	0.612	0.612
Abcb10	Fech	10090.ENSMUSP00000075011	10090.ENSMUSP00000025484	0	0	0	0	0.065	0	0	0.817	0.821
Abcb10	Urod	10090.ENSMUSP00000075011	10090.ENSMUSP00000030446	0	0	0	0	0.060	0	0	0.541	0.550
Abcb10	Uros	10090.ENSMUSP00000075011	10090.ENSMUSP00000033276	0	0	0	0	0.044	0	0	0.571	0.572
Abcb10	Slc25a38	10090.ENSMUSP00000075011	10090.ENSMUSP00000035106	0	0	0	0	0.045	0.050	0	0.687	0.691
Abcb10	Mfsd7c	10090.ENSMUSP00000075011	10090.ENSMUSP00000035569	0	0	0	0	0	0	0	0.622	0.622
Abcb10	Slc25a37	10090.ENSMUSP00000075011	10090.ENSMUSP00000039990	0	0	0	0	0.052	0.051	0	0.912	0.914
Abcb10	Steap3	10090.ENSMUSP00000075011	10090.ENSMUSP00000108260	0	0	0	0	0	0	0	0.598	0.598
Abcb1a	Cav1	10090.ENSMUSP00000041204	10090.ENSMUSP00000007799	0	0	0	0	0	0.122	0	0.655	0.684
Abcb1a	Abcb1b	10090.ENSMUSP00000041204	10090.ENSMUSP00000009058	0	0	0	0.983	0.062	0	0.800	0.950	0.807
Abcb1a	Egfr	10090.ENSMUSP00000041204	10090.ENSMUSP00000020329	0	0	0	0	0.062	0.083	0	0.671	0.692
Abcb1a	Nfe2l2	10090.ENSMUSP00000041204	10090.ENSMUSP00000099733	0	0	0	0	0	0	0	0.623	0.623
Abcb1a	Cldn5	10090.ENSMUSP00000041204	10090.ENSMUSP00000041925	0	0	0	0	0.137	0	0	0.589	0.630
Abcb1a	Itpkb	10090.ENSMUSP00000041204	10090.ENSMUSP00000069851	0	0	0	0	0	0	0	0.687	0.687
Abcb1a	Prl2c3	10090.ENSMUSP00000041204	10090.ENSMUSP00000097393	0	0	0	0	0	0	0	0.705	0.705
Abcb1b	Cav1	10090.ENSMUSP00000009058	10090.ENSMUSP00000007799	0	0	0	0	0	0.122	0	0.538	0.577
Abcb1b	Itpkb	10090.ENSMUSP00000009058	10090.ENSMUSP00000069851	0	0	0	0	0	0	0	0.557	0.557
Abcb1b	Prl2c3	10090.ENSMUSP00000009058	10090.ENSMUSP00000097393	0	0	0	0	0	0	0	0.616	0.616
Abcb1b	Egfr	10090.ENSMUSP00000009058	10090.ENSMUSP00000020329	0	0	0	0	0.062	0.071	0	0.715	0.729
Abcc5	St5	10090.ENSMUSP00000078158	10090.ENSMUSP00000077067	0	0	0	0	0	0	0	0.556	0.556
Abcc5	Abcg4	10090.ENSMUSP00000078158	10090.ENSMUSP00000124647	0	0	0	0	0.089	0.093	0	0.677	0.710
Abcc5	Prl2c3	10090.ENSMUSP00000078158	10090.ENSMUSP00000097393	0	0	0	0	0	0	0	0.835	0.835
Abcd1	Pxmp4	10090.ENSMUSP00000002084	10090.ENSMUSP00000000896	0	0	0	0	0.188	0.096	0	0.472	0.578
Abcd1	Pex5l	10090.ENSMUSP00000002084	10090.ENSMUSP00000103861	0	0	0	0	0.391	0	0	0.320	0.568
Abcd1	Hsd17b4	10090.ENSMUSP00000002084	10090.ENSMUSP00000025385	0	0	0	0	0.313	0.127	0	0.463	0.650
Abcd1	Pex13	10090.ENSMUSP00000002084	10090.ENSMUSP00000020523	0	0	0	0	0.323	0.099	0	0.654	0.770
Abcd1	Abcd3	10090.ENSMUSP00000002084	10090.ENSMUSP00000029770	0	0	0	0.888	0.062	0.711	0.900	0.916	0.973
Abcd1	Pex3	10090.ENSMUSP00000002084	10090.ENSMUSP00000019945	0	0	0	0	0.427	0.681	0.900	0.304	0.985
Abcd3	Pxmp4	10090.ENSMUSP00000029770	10090.ENSMUSP00000000896	0	0	0	0	0.166	0.167	0	0.505	0.626
